firmware_protocol	representative_pid	device	version	file	bytes	sha256	archive_check	manifest_target	payload_types	result
7	0b0e:24f3	Jabra Evolve2 55 Stereo	1.6.3	Jabra_Evolve2_55-v1.6.3-willDuo-vector.zip	14292796	3fa08994539e1f7d8db54cf81a2726cde738312bdde6f5f0b3779c4c5f2944f1	zip_ok	0x24F3	gnv	ok
7	0b0e:24f6	Jabra Evolve2 55 Mono	1.6.3	Jabra_Evolve2_55-v1.6.3-willMono-vector.zip	14124575	3a1002f547ff810fda391426d75b3fe9bab151786ebe7d8b9853ee238454141b	zip_ok	0x24F6	gnv	ok
7	0b0e:24fc	Jabra Evolve 65 SE Stereo	1.1.2	Jabra_Evolve_65_SE-v1.1.2-skyfalle65Duo-vector.zip	1781019	7f767ab2168948efcefd54f3b59a46199845d7c72107eede289fa768ec0c8b6f	zip_ok	0x24FC	gnv	ok
7	0b0e:24ff	Jabra Evolve 65 SE Mono	1.1.2	Jabra_Evolve_65_SE-v1.1.2-skyfalle65Mono-vector.zip	1780600	db8fbb97908f886b44a424ce13093c66a344294ebca97d606b6ca648c978b079	zip_ok	0x24FF	gnv	ok
7	0b0e:2502	Jabra Evolve 75 SE	1.1.0	Jabra_Evolve_75_SE-v1.1.0-ev75-vector.zip	1883870	0729bbd242ebeca9dadd87fa4ec85adf459521a15fd04e2914afca2082ee476b	zip_ok	0x2502	gnv	ok
7	0b0e:2505	Jabra Evolve2 50 Stereo	1.5.7	Jabra_Evolve2_50-v1.5.7-fellDuo-vector.zip	11973062	a8a4f3dd7345f42f7b15f763e1efac29ce37ab77d33f477be29bfb0b07ae7e02	zip_ok	0x2505	gnv	ok
7	0b0e:2508	Jabra Evolve2 50 Mono	1.5.7	Jabra_Evolve2_50-v1.5.7-fellMono-vector.zip	11825791	da27cc128b3641559684f2754ceefd722f24eb364d116ed56f13a75fc6ea53bd	zip_ok	0x2508	gnv	ok
7	0b0e:250b	Jabra Evolve2 Buds	1.2.5	Jabra_Evolve2_Buds-v1.2.5-ev2buds-vector.zip	14957209	9e1a26e41bd58df61961da386e5d0964b9dcf2b2481a62f305e73409d4ee6389	zip_ok	0x250B	gnv	ok
7	0b0e:2517	Jabra Evolve2 65 Flex	1.6.2	Jabra_Evolve2_65_Flex-v1.6.2-cyp-vector.zip	14410961	56a3a62156b2a060bcd3011312f8a778247a5b301a769023fcf387969cc93861	zip_ok	0x2517	gnv	ok
7	0b0e:2537	Jabra Evolve 65 TE Stereo	1.0.3	Jabra_Evolve_65_TE-v1.0.3-arecaDuo-vector.zip	1654657	4ef3ef33d274536a62f3c6be8e6d3429d735d8cd712685e60ae405b1f80d1b08	zip_ok	0x2537	gnv	ok
